"","Make","Model","Year","Engine.Fuel.Type","Engine.HP","Engine.Cylinders","Transmission.Type","Driven_Wheels","Number.of.Doors","Market.Category","Vehicle.Size","Vehicle.Style","highway.MPG","city.mpg","Popularity","MSRP"
"540","FIAT","500e",2015,"electric",NA,0,"DIRECT_DRIVE","front wheel drive",2,"Hatchback","Compact","2dr Hatchback",108,122,819,31800
"541","FIAT","500e",2016,"electric",NA,0,"DIRECT_DRIVE","front wheel drive",2,"Hatchback","Compact","2dr Hatchback",103,121,819,31800
"542","FIAT","500e",2017,"electric",NA,0,"DIRECT_DRIVE","front wheel drive",2,"Hatchback","Compact","2dr Hatchback",103,121,819,31800
"2906","Lincoln","Continental",2017,"premium unleaded (recommended)",NA,6,"AUTOMATIC","all wheel drive",4,"Luxury","Large","Sedan",25,17,61,55915
"2907","Lincoln","Continental",2017,"premium unleaded (recommended)",NA,6,"AUTOMATIC","front wheel drive",4,"Luxury","Large","Sedan",27,18,61,62915
"2908","Lincoln","Continental",2017,"premium unleaded (recommended)",NA,6,"AUTOMATIC","front wheel drive",4,"Luxury","Large","Sedan",27,18,61,53915
"2909","Lincoln","Continental",2017,"premium unleaded (recommended)",NA,6,"AUTOMATIC","all wheel drive",4,"Luxury","Large","Sedan",25,17,61,64915
"4204","Ford","Escape",2017,"regular unleaded",NA,4,"AUTOMATIC","front wheel drive",4,"Crossover","Compact","4dr SUV",30,23,5657,29100
"4205","Ford","Escape",2017,"regular unleaded",NA,4,"AUTOMATIC","all wheel drive",4,"Crossover","Compact","4dr SUV",28,22,5657,30850
"4206","Ford","Escape",2017,"regular unleaded",NA,4,"AUTOMATIC","all wheel drive",4,"Crossover","Compact","4dr SUV",28,22,5657,26850
"4207","Ford","Escape",2017,"regular unleaded",NA,4,"AUTOMATIC","front wheel drive",4,"Crossover","Compact","4dr SUV",30,23,5657,25100
"4706","Honda","Fit EV",2013,"electric",NA,0,"DIRECT_DRIVE","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",105,132,2202,36625
"4707","Honda","Fit EV",2014,"electric",NA,0,"DIRECT_DRIVE","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",105,132,2202,36625
"4786","Ford","Focus",2015,"electric",NA,0,"DIRECT_DRIVE","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",99,110,5657,29170
"4790","Ford","Focus",2016,"electric",NA,0,"DIRECT_DRIVE","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",99,110,5657,29170
"4799","Ford","Focus",2017,"electric",NA,0,"DIRECT_DRIVE","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",99,110,5657,29120
"4915","Ford","Freestar",2005,"regular unleaded",NA,6,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Passenger Minivan",22,16,5657,28030
"4916","Ford","Freestar",2005,"regular unleaded",NA,6,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Passenger Minivan",22,16,5657,23930
"4917","Ford","Freestar",2005,"regular unleaded",NA,6,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Cargo Minivan",22,16,5657,21630
"4918","Ford","Freestar",2005,"regular unleaded",NA,6,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Passenger Minivan",22,16,5657,26530
"4919","Ford","Freestar",2005,"regular unleaded",NA,6,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Passenger Minivan",21,16,5657,29030
"4920","Ford","Freestar",2005,"regular unleaded",NA,6,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Passenger Minivan",21,16,5657,32755
"5779","Mitsubishi","i-MiEV",2014,"electric",NA,NA,"DIRECT_DRIVE","rear wheel drive",4,"Hatchback","Compact","4dr Hatchback",99,126,436,22995
"5826","Chevrolet","Impala",2015,"flex-fuel (unleaded/natural gas)",NA,6,"AUTOMATIC","front wheel drive",4,"Flex Fuel,Performance","Large","Sedan",25,17,1385,40660
"5831","Chevrolet","Impala",2015,"flex-fuel (unleaded/natural gas)",NA,6,"AUTOMATIC","front wheel drive",4,"Flex Fuel,Performance","Large","Sedan",25,17,1385,37535
"5832","Chevrolet","Impala",2016,"flex-fuel (unleaded/natural gas)",NA,6,"AUTOMATIC","front wheel drive",4,"Flex Fuel,Performance","Large","Sedan",25,17,1385,40810
"5834","Chevrolet","Impala",2016,"flex-fuel (unleaded/natural gas)",NA,6,"AUTOMATIC","front wheel drive",4,"Flex Fuel,Performance","Large","Sedan",25,17,1385,37570
"5840","Chevrolet","Impala",2017,"flex-fuel (unleaded/natural gas)",NA,6,"AUTOMATIC","front wheel drive",4,"Flex Fuel,Performance","Large","Sedan",25,17,1385,37675
"5841","Chevrolet","Impala",2017,"flex-fuel (unleaded/natural gas)",NA,6,"AUTOMATIC","front wheel drive",4,"Flex Fuel,Performance","Large","Sedan",25,17,1385,40915
"6386","Nissan","Leaf",2014,"electric",NA,0,"DIRECT_DRIVE","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",101,126,2009,35020
"6387","Nissan","Leaf",2014,"electric",NA,0,"DIRECT_DRIVE","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",101,126,2009,32000
"6388","Nissan","Leaf",2014,"electric",NA,0,"DIRECT_DRIVE","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",101,126,2009,28980
"6389","Nissan","Leaf",2015,"electric",NA,0,"DIRECT_DRIVE","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",101,126,2009,32100
"6390","Nissan","Leaf",2015,"electric",NA,0,"DIRECT_DRIVE","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",101,126,2009,35120
"6391","Nissan","Leaf",2015,"electric",NA,0,"DIRECT_DRIVE","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",101,126,2009,29010
"6392","Nissan","Leaf",2015,"electric",NA,0,"DIRECT_DRIVE","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",101,126,2009,32000
"6393","Nissan","Leaf",2016,"electric",NA,0,"DIRECT_DRIVE","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",101,126,2009,29010
"6394","Nissan","Leaf",2016,"electric",NA,0,"DIRECT_DRIVE","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",101,124,2009,34200
"6395","Nissan","Leaf",2016,"electric",NA,0,"DIRECT_DRIVE","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",101,124,2009,36790
"6579","Mercedes-Benz","M-Class",2015,"diesel",NA,4,"AUTOMATIC","all wheel drive",4,"Crossover,Luxury,Diesel","Midsize","4dr SUV",29,22,617,49800
"6909","Lincoln","MKZ",2017,"regular unleaded",NA,4,"AUTOMATIC","front wheel drive",4,"Luxury,Hybrid","Midsize","Sedan",38,41,61,35010
"6911","Lincoln","MKZ",2017,"regular unleaded",NA,4,"AUTOMATIC","front wheel drive",4,"Luxury,Hybrid","Midsize","Sedan",38,41,61,39510
"6917","Lincoln","MKZ",2017,"regular unleaded",NA,4,"AUTOMATIC","front wheel drive",4,"Luxury,Hybrid","Midsize","Sedan",38,41,61,36760
"6919","Lincoln","MKZ",2017,"regular unleaded",NA,4,"AUTOMATIC","front wheel drive",4,"Luxury,Hybrid","Midsize","Sedan",38,41,61,47670
"6922","Tesla","Model S",2014,"electric",NA,0,"DIRECT_DRIVE","rear wheel drive",4,"Exotic,High-Performance","Large","Sedan",90,88,1391,79900
"6923","Tesla","Model S",2014,"electric",NA,0,"DIRECT_DRIVE","rear wheel drive",4,"Exotic,Performance","Large","Sedan",97,94,1391,69900
"6924","Tesla","Model S",2014,"electric",NA,0,"DIRECT_DRIVE","all wheel drive",4,"Exotic,High-Performance","Large","Sedan",94,86,1391,104500
"6925","Tesla","Model S",2014,"electric",NA,0,"DIRECT_DRIVE","rear wheel drive",4,"Exotic,High-Performance","Large","Sedan",90,88,1391,93400
"6926","Tesla","Model S",2015,"electric",NA,0,"DIRECT_DRIVE","rear wheel drive",4,"Exotic,Performance","Large","Sedan",97,94,1391,69900
"6927","Tesla","Model S",2015,"electric",NA,0,"DIRECT_DRIVE","all wheel drive",4,"Exotic,Performance","Large","Sedan",102,101,1391,75000
"6928","Tesla","Model S",2015,"electric",NA,0,"DIRECT_DRIVE","all wheel drive",4,"Exotic,High-Performance","Large","Sedan",106,95,1391,85000
"6929","Tesla","Model S",2015,"electric",NA,0,"DIRECT_DRIVE","all wheel drive",4,"Exotic,High-Performance","Large","Sedan",98,89,1391,105000
"6930","Tesla","Model S",2015,"electric",NA,0,"DIRECT_DRIVE","rear wheel drive",4,"Exotic,Performance","Large","Sedan",90,88,1391,80000
"6931","Tesla","Model S",2016,"electric",NA,0,"DIRECT_DRIVE","all wheel drive",NA,"Exotic,Performance","Large","Sedan",105,102,1391,79500
"6932","Tesla","Model S",2016,"electric",NA,0,"DIRECT_DRIVE","all wheel drive",NA,"Exotic,Performance","Large","Sedan",101,98,1391,66000
"6933","Tesla","Model S",2016,"electric",NA,0,"DIRECT_DRIVE","all wheel drive",NA,"Exotic,High-Performance","Large","Sedan",105,92,1391,134500
"6934","Tesla","Model S",2016,"electric",NA,0,"DIRECT_DRIVE","rear wheel drive",NA,"Exotic,Performance","Large","Sedan",100,97,1391,74500
"6935","Tesla","Model S",2016,"electric",NA,0,"DIRECT_DRIVE","all wheel drive",NA,"Exotic,Performance","Large","Sedan",107,101,1391,71000
"6936","Tesla","Model S",2016,"electric",NA,0,"DIRECT_DRIVE","all wheel drive",4,"Exotic,Performance","Large","Sedan",102,101,1391,75000
"6937","Tesla","Model S",2016,"electric",NA,0,"DIRECT_DRIVE","all wheel drive",4,"Exotic,High-Performance","Large","Sedan",107,101,1391,89500
"6938","Tesla","Model S",2016,"electric",NA,0,"DIRECT_DRIVE","all wheel drive",4,"Exotic,High-Performance","Large","Sedan",100,91,1391,112000
"6939","Tesla","Model S",2016,"electric",NA,0,"DIRECT_DRIVE","rear wheel drive",4,"Exotic,Performance","Large","Sedan",90,88,1391,70000
"8375","Toyota","RAV4 EV",2013,"electric",NA,0,"DIRECT_DRIVE","front wheel drive",4,"Crossover","Midsize","4dr SUV",74,78,2031,49800
"8376","Toyota","RAV4 EV",2014,"electric",NA,0,"DIRECT_DRIVE","front wheel drive",4,"Crossover","Midsize","4dr SUV",74,78,2031,49800
"9851","Kia","Soul EV",2015,"electric",NA,0,"DIRECT_DRIVE","front wheel drive",4,"N/A","Compact","Wagon",92,120,1720,35700
"9852","Kia","Soul EV",2015,"electric",NA,0,"DIRECT_DRIVE","front wheel drive",4,"N/A","Compact","Wagon",92,120,1720,33700
"9853","Kia","Soul EV",2016,"electric",NA,0,"DIRECT_DRIVE","front wheel drive",4,"N/A","Compact","Wagon",92,120,1720,33950
"9854","Kia","Soul EV",2016,"electric",NA,0,"DIRECT_DRIVE","front wheel drive",4,"N/A","Compact","Wagon",92,120,1720,31950
"9855","Kia","Soul EV",2016,"electric",NA,0,"DIRECT_DRIVE","front wheel drive",4,"N/A","Compact","Wagon",92,120,1720,35950
